settlement_id,bank_transaction_id,amount,date,match_type,is_match,confidence
ORD-5034,CV3002,6016.68,2026-07-05,exact_order_id_in_description,True,1.0
ORD-5021,PGREF522486,29848.33,2026-07-03,order_subledger_date_match,True,1.0
ORD-5008,UPI2026075844761879,46038.79,2026-07-09,order_subledger_date_match,True,1.0
ORD-5016,PGREF755022,45294.38,2026-07-04,order_subledger_date_match,True,1.0
ORD-5011,UPI2026080660550679,44606.5,2026-07-01,order_subledger_date_match,True,1.0
ORD-5004,UPI2026074724987299,16100.66,2026-08-11,order_subledger_date_match,True,1.0
ORD-5018,PGREF865458,38250.13,2026-08-04,order_subledger_date_match,True,1.0
ORD-5019,PGREF721458,2350.3,2026-07-13,order_subledger_date_match,True,1.0
ORD-5033,CV3001,7411.94,2026-07-24,exact_order_id_in_description,True,1.0
ORD-5010,UPI2026071470761214,6188.25,2026-07-30,order_subledger_date_match,True,1.0
ORD-5003,UPI2026078185046454,16100.66,2026-08-09,order_subledger_date_match,True,1.0
ORD-5022,PGREF402225,35723.32,2026-07-04,order_subledger_date_match,True,1.0
ORD-5012,UPI2026075749439372,10501.08,2026-07-18,order_subledger_date_match,True,1.0
ORD-5035,CV3003,8446.11,2026-07-07,exact_order_id_in_description,True,1.0
ORD-5023,PGREF935466,20441.83,2026-07-11,order_subledger_date_match,True,1.0
ORD-5002,UPI2026076129680225,4984.45,2026-07-17,order_subledger_date_match,True,1.0
ORD-5013,UPI2026079636537404,3202.59,2026-07-26,order_subledger_date_match,True,1.0
ORD-5024,PGREF355008,12790.83,2026-07-22,order_subledger_date_match,True,1.0
ORD-5017,PGREF213934,4143.16,2026-07-22,order_subledger_date_match,True,1.0
ORD-5005,UPI2026077421181574,1527.32,2026-07-07,order_subledger_date_match,True,1.0
ORD-5036,CV3004,7938.62,2026-07-18,exact_order_id_in_description,True,1.0
ORD-5020,PGREF215011,48442.49,2026-07-01,order_subledger_date_match,True,1.0
ORD-5006,UPI2026078827343191,43942.76,2026-07-31,order_subledger_date_match,True,1.0
ORD-5007,UPI2026079292586505,41279.08,2026-08-08,order_subledger_date_match,True,1.0
ORD-5009,UPI2026077936174703,14778.68,2026-07-30,order_subledger_date_match,True,1.0
ORD-5014,UPI2026072956556748,19487.93,2026-07-10,order_subledger_date_match,True,1.0
ORD-5037,CV3005,2449.93,2026-07-05,exact_order_id_in_description,True,1.0
ORD-5028,UTR215256385481,6873.25,2026-07-15,exact_description_amount,True,1.0
ORD-5025,UTR897413148929,30980.83,2026-07-25,exact_description_amount,True,1.0
ORD-5031,UTR218242398173,27519.04,2026-07-27,exact_description_amount,True,1.0
ORD-5030,UTR828067113431,20902.0,2026-08-08,exact_description_amount,True,1.0
ORD-5027,UTR524971960828,1484.92,2026-07-06,exact_description_amount,True,1.0
ORD-5029,UTR398235977635,41432.97,2026-07-27,exact_description_amount,True,1.0
